# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled Blood Pos_2018_Aug_02_16_40_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Thu Aug 02 16:42:19 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,48_T1,48_T2,48_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,Retention Time,MS1 Composite Spectrum,Mass,Ionization mode,Formula,Frequency,CompoundAlgo
C12H12F6,1,1,1,265904,277695,293669,297520,200582,267014,308695,273689,296401,218178,197198,201062,231054,297326,212104,287438,169870,314638,271269,315372,315733,227040,221624,231929,230456,238830,300635,284877,307606,329058,333551,317769,371764,268517,250587,191560,28742,93993,35261,159399,249041,63880,1,369298,1,36619,107696,275471,,"C12H12F6 [ C12 H12 F6, tgt=, overall=86.02, db=86.02 ]",,,C12H12F6,6.7100005,"(136.048, 3035.03)(271.0922, 24012.24)(272.0957, 2866.33)",270.0804,,C12 H12 F6,50,FindByFormula
C10H16O4,1,1,1,185277,193004,196906,201225,114588,179084,184288,148541,170194,106246,105130,92184,92663,200643,131266,205353,109603,215448,164483,205664,201978,118965,133417,135398,133104,149300,183657,216924,216269,223534,257964,219326,279607,130030,125237,79346,39775,187510,64393,100243,184982,135638,27786,322496,1,82310,247821,172061,,"C10H16O4 [ C10 H16 O4, tgt=, overall=86.28, db=86.28 ]",,,C10H16O4,5.8589983,"(201.1126, 47867.31)(202.1159, 5127.35)",200.1053,,C10 H16 O4,50,FindByFormula
C30H45N3O7 12.4050045,1,1,1,138397,1,210104,36280,26511,32205,1,1,46542,93434,76586,187569,1,1,1,102733,1,51691,1,34290,1,22608,1,1,239323,696030,452281,349537,1421086,1656484,13469,1,1,199305,265926,1,164276,575181,694943,839436,673326,224299,1,182054,44753,172627,241577,120930,,"C30H45N3O7 [ C30 H45 N3 O7, tgt=, overall=61.54, db=61.54 ]",,,C30H45N3O7 12.4050045,12.4050045,"(560.3325, 22087.59)(561.3357, 7023.29)(562.3456, 8540.0)",559.3258,,C30 H45 N3 O7,50,FindByFormula
C30H47O4P,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12647,210169,12505,1,1,1,1,1,1,1,80720,207167,1,1,1,1,1,1,1,1,105373,358859,1,46913,51391,1,183789,341107,1,1,28636,1,1,1,33229,,"C30H47O4P [ C30 H47 O4 P, tgt=, overall=75.06, db=75.06 ]",,,C30H47O4P,11.714002,"(503.3291, 49786.3)(504.3319, 12967.73)(505.3199, 5650.53)",502.32,,C30 H47 O4 P,19,FindByFormula
C18H34N2O4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28827,13903,32413,15822,172864,314904,218509,158158,127337,58809,33483,1,16401,20954,26761,24592,1,1,20051,1,1,1,,"C18H34N2O4 [ C18 H34 N2 O4, tgt=, overall=74.97, db=74.97 ]",,,C18H34N2O4,12.6220045,"(343.2598, 37247.37)(344.2633, 8364.26)",342.2528,,C18 H34 N2 O4,50,FindByFormula
C24H43N7O10,1,1,1,1,181275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,193606,313439,343536,277661,289711,1,116115,116979,124246,1,1,457871,367054,455785,1,1,237140,1,226990,539299,248019,213158,154304,,"C24H43N7O10 [ C24 H43 N7 O10, tgt=, overall=50.81, db=50.81 ]",,,C24H43N7O10,14.796003,"(590.3184, 7851.65)(591.3219, 2776.88)",589.3119,,C24 H43 N7 O10,50,FindByFormula
C28H35N3,1,1,1,122388,124351,116325,80552,46674,73661,78057,43876,143494,114526,109771,108994,30469,148988,139786,73571,42684,1,30837,92554,59850,92386,99388,92509,179839,216032,287147,93339,93323,99144,106229,107788,125676,141112,139924,97871,45941,55647,48218,105360,159716,72813,1,200890,41305,28970,49178,121444,,"C28H35N3 [ C28 H35 N3, tgt=, overall=55.53, db=55.53 ]",,,C28H35N3,10.619998,"(414.2944, 25367.28)(415.293, 8313.16)",413.2875,,C28 H35 N3,49,FindByFormula
549.2959@10.588006,1,1,1,120132,112821,279026,142339,86750,147814,95115,69568,118904,97330,108459,215085,46921,178585,120892,97695,76434,108289,75805,124623,103533,76635,133419,85102,146455,1,422598,626749,894209,1,147317,173438,228091,161106,254553,80114,94552,191966,89793,3280650,4027604,693638,42501,289262,154464,78380,185624,200565,,,,,549.2959@10.588006,10.588006,"(550.3122, 104099.59)(551.3154, 42193.41)(552.3267, 78423.3)",549.2959,,,48,FindByFormula
C30H30O4,1,1,1,90259,74455,155743,141792,86218,111520,145536,130209,154871,111813,105544,89131,38974,59329,127943,139498,46591,174429,130796,157377,182139,111990,49271,102760,131535,172615,270347,247610,279651,279379,231230,271848,348477,175626,170367,157557,1,30341,1,138212,226791,70293,1,371946,1,1,58914,181583,,"C30H30O4 [ C30 H30 O4, tgt=, overall=71.54, db=71.54 ]",,,C30H30O4,8.899997,"(455.222, 18821.39)(456.2252, 4190.28)",454.2141,,C30 H30 O4,50,FindByFormula
C17H24O5,1,1,1,428958,452528,394655,431549,152595,420815,408322,288618,243570,240628,131139,228054,172342,351382,224979,328453,244850,233311,165884,386297,176587,270380,242706,269919,176452,157804,245850,185682,162865,262722,356283,355732,452122,199443,237262,82502,58997,158329,63141,119764,301143,85850,1,428265,54032,67896,77722,244196,,"C17H24O5 [ C17 H24 O5, tgt=, overall=83.63, db=83.63 ]",,,C17H24O5,7.950003,"(309.17, 25370.72)(310.1732, 3986.0)",308.1584,,C17 H24 O5,50,FindByFormula
626.427@11.853,1,1,1,1,1,14653,1,1,1,1,1,1,23394,22198,1,17521,15429,1,19480,1,38811,11889,1,1,14972,1,1,38824,84623,175017,245435,287204,278745,69143,86911,100345,75622,77991,16851,213613,296518,249977,93327,185056,365887,35752,166354,135214,143186,319281,121247,,,,,626.427@11.853,11.853,"(627.4338, 39647.56)(628.4362, 15809.46)(629.4372, 4502.22)",626.427,,,46,FindByFormula
C32H30O3,1,1,1,206532,237456,149159,157737,108415,210254,118155,83069,130886,91740,80928,83858,52117,298740,355988,132649,205330,153055,93529,166806,100670,101213,202521,97446,59887,66098,121599,111359,111972,116349,151280,126807,178602,133496,78792,1,1,1,1,45067,99117,1,1,106381,1,1,1,71188,,"C32H30O3 [ C32 H30 O3, tgt=, overall=71.58, db=71.58 ]",,,C32H30O3,9.817995,"(463.2261, 24875.45)(464.2293, 6194.44)",462.2177,,C32 H30 O3,50,FindByFormula
C22H39O6P,1,1,1,93024,76767,105785,99970,67170,96037,98342,77260,83148,77927,68754,62917,122277,199838,132402,166311,1,195086,89106,118936,122186,155848,131895,152542,110575,132707,226680,211996,247962,236300,175131,201807,303614,242353,190511,123776,1,1,1,98319,188026,1,1,364983,1,1,111993,178060,,"C22H39O6P [ C22 H39 O6 P, tgt=, overall=83.08, db=83.08 ]",,,C22H39O6P,10.168,"(431.256, 29983.14)(432.2592, 7166.67)",430.2503,,C22 H39 O6 P,46,FindByFormula
C9H14O4 4.7420015,1,1,1,217262,200591,210867,239055,139170,207033,228607,158915,229292,188396,187071,225828,214825,139433,86105,305854,152811,336800,120389,200031,85590,217656,130227,223805,131875,155984,192447,184024,201697,203431,185453,137591,187075,246905,220544,61777,129253,56901,101002,83759,183308,127904,1,221636,65690,78038,26360,108340,,"C9H14O4 [ C9 H14 O4, tgt=, overall=86.55, db=86.55 ]",,,C9H14O4 4.7420015,4.7420015,"(187.0967, 37258.54)(188.1, 4220.16)",186.0894,,C9 H14 O4,50,FindByFormula
C24H38N10O6S,1,1,1,27674,21862,27602,1,1,1,30728,24596,35565,28111,31393,1,25644,34196,19522,32189,1,29946,32052,46962,50177,18619,1,1,67021,92508,71783,154434,139487,111633,1,33518,1,1,31892,25805,307376,190220,300730,66146,157394,308518,50147,112039,219387,118386,73834,71551,,"C24H38N10O6S [ C24 H38 N10 O6 S, tgt=, overall=65.69, db=65.69 ]",,,C24H38N10O6S,10.484002,"(595.2782, 19252.03)(596.2819, 5519.38)",594.2716,,C24 H38 N10 O6 S,49,FindByFormula
C31H42N2O7,1,1,1,81807,1,91957,86860,1,79143,66638,1,85081,87120,76174,57814,60645,91330,67899,90109,1,95780,43794,91015,105996,1,85759,68063,136922,140339,241423,157874,189318,259252,155995,192029,222500,159187,148008,103358,142944,125352,98808,220107,363995,282420,73461,384502,387758,140789,157859,140933,,"C31H42N2O7 [ C31 H42 N2 O7, tgt=, overall=69.89, db=69.89 ]",,,C31H42N2O7,10.385004,"(555.3084, 15632.72)(556.3115, 4506.47)",554.2996,,C31 H42 N2 O7,50,FindByFormula
C13H22N4O2S,1,1,1,124073,71305,211160,170737,102485,123226,184634,178070,195706,138720,125525,126309,53494,1,54385,182676,37059,210810,176399,198477,207649,161825,1,169942,190546,226656,268302,240276,257052,267925,256607,223099,314722,181676,210370,124048,29914,1,45277,122587,225658,1,1,346424,34392,35674,58046,218343,,"C13H22N4O2S [ C13 H22 N4 O2 S, tgt=, overall=76.69, db=76.69 ]",,,C13H22N4O2S,6.385,"(299.1536, 29293.95)(300.1566, 3926.74)",298.1417,,C13 H22 N4 O2 S,50,FindByFormula
880.7453@14.268999,1,1,1,1,189425,123090,326924,361759,345581,1170479,803534,1587454,963994,1294716,1168268,2015318,4757026,235902,161414,501822,466706,1149107,1359211,324752,989334,660650,92142,1,2331365,1573548,1986510,1391308,685121,1.07E+07,744266,611539,935512,252160,1622620,5697129,2.78E+07,1876478,6002919,499324,7648094,8958414,264295,1066237,8542923,5787828,592924,,,,,880.7453@14.268999,14.268999,"(881.7554, 444453.66)(882.7587, 259736.25)(883.7609, 70285.43)",880.7453,,,50,FindByFormula
C22H22O8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45510,1,263297,162263,331449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C22H22O8 [ C22 H22 O8, tgt=, overall=81.02, db=81.02 ]",,,C22H22O8,11.027004,"(415.1388, 17205.57)(416.1421, 3490.96)",414.1325,,C22 H22 O8,50,FindByFormula
C8H13FN4 8.114998,1,1,1,192253,185613,179520,201855,118377,179050,185235,170877,196489,131034,170808,140378,106294,214831,128002,178400,108090,209689,150003,195121,185371,188028,199397,180573,151644,158759,219852,233992,273466,282355,226408,248099,305946,235192,226273,150499,20676,79469,38465,102225,209293,53747,13431,317900,127083,177270,79786,193370,,"C8H13FN4 [ C8 H13 F N4, tgt=, overall=83.74, db=83.74 ]",,,C8H13FN4 8.114998,8.114998,"(185.1188, 28926.92)(186.1217, 3202.15)",184.1101,,C8 H13 F N4,50,FindByFormula
C18H32N8O4,1,1,1,54909,37223,51831,33495,23006,37139,56671,42900,59406,64765,55274,21663,57767,72612,75711,73717,40688,101418,64125,90400,114444,46634,54146,54546,179229,201838,264454,128832,111865,110582,197866,269106,297634,208973,183648,140509,85907,74488,65505,47877,74518,82193,23118,49909,82044,122165,163752,116188,,"C18H32N8O4 [ C18 H32 N8 O4, tgt=, overall=80.04, db=80.04 ]",,,C18H32N8O4,11.9819975,"(425.2618, 30298.67)(426.2648, 8266.97)",424.2585,,C18 H32 N8 O4,50,FindByFormula
824.4856@11.700998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24359,21325,1,133006,94671,69358,1,1,44086,1,1,1,45119,119975,156142,270991,268367,406589,54503,96226,65719,36627,35263,1,101506,139785,238713,173537,108149,281259,313487,319134,379089,142645,87235,228304,,,,,824.4856@11.700998,11.700998,"(825.4973, 61134.13)(826.501, 26144.78)(827.5039, 7073.11)",824.4856,,,31,FindByFormula
590.3965@10.881003,1,1,1,285920,273784,317220,298011,164409,262181,269270,243959,284089,306938,282058,235787,248159,352707,258510,231681,128758,270238,232601,302449,315517,252154,269844,255387,264230,331752,464057,357348,363839,364581,298699,305104,393270,337297,319342,266006,277085,335969,284685,226073,365816,381645,55044,462465,368148,262657,360475,307624,,,,,590.3965@10.881003,10.881003,"(591.3974, 24702.22)(592.4004, 7308.53)(593.3976, 1500.22)",590.3965,,,50,FindByFormula
607.5866@14.403009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27118,1,1,1,1,1,1,1,1,1,1,1,1,30749,32531,1,49649,20950,29663,1,1,1,1,1,110049,112792,55899,53271,110587,113733,375225,1,1,95327,210620,1,1,,,,,607.5866@14.403009,14.403009,"(608.5943, 19634.36)(609.5973, 7674.1)(610.6011, 2049.27)",607.5866,,,50,FindByFormula
C13H22BN3O2,1,1,1,1,1,1,76662,51795,83584,97601,90025,93407,123296,120853,98271,1,1,1,83001,1,92149,112281,124042,139029,100175,1,97541,235047,278740,323253,82498,81109,83855,216483,245397,243618,80299,83214,68582,79709,92380,87147,1,102721,125073,1,100170,87660,127552,171391,144174,,"C13H22BN3O2 [ C13 H22 B N3 O2, tgt=, overall=39.37, db=39.37 ]",,,C13H22BN3O2,9.528999,"(264.1888, 18736.39)(265.1904, 3279.88)",263.1826,,C13 H22 B N3 O2,42,FindByFormula
C23H22N2O4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,263681,315334,1,1,1,1,1,1,1,129963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C23H22N2O4 [ C23 H22 N2 O4, tgt=, overall=75.60, db=75.60 ]",,,C23H22N2O4,4.9550014,"(196.0863, 38474.05)(196.5879, 6894.49)",390.1581,,C23 H22 N2 O4,50,FindByFormula
C14H9Cl2N3O4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40884,62956,62972,1,1,1,145673,200005,334350,173769,142000,131857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C14H9Cl2N3O4 [ C14 H9 Cl2 N3 O4, tgt=, overall=71.47, db=71.47 ]",,,C14H9Cl2N3O4,9.756004,"(354.0049, 28521.2)(355.008, 4399.81)(356.002, 8795.76)",352.9997,,C14 H9 Cl2 N3 O4,50,FindByFormula
1022.6013@12.2300005,1,1,1,35462,28926,53319,28064,1,26503,21285,1,28572,32405,27827,1,41120,49024,31733,94856,24109,59060,25258,1,58074,1,1,1,43205,66790,119626,263155,343312,322242,58984,122121,125986,49940,46793,19617,93933,110215,121555,133580,214528,252068,45889,278611,232741,60211,104064,61506,,,,,1022.6013@12.2300005,12.2300005,"(1023.6086, 19124.61)(1024.6113, 10552.6)(1025.6161, 3701.9)",1022.6013,,,49,FindByFormula
C12H16N4S,1,1,1,301670,211337,242221,219501,131747,196820,240081,279466,243974,216933,203099,193016,150178,277826,189169,214873,111039,250732,194221,245149,249611,183669,220777,189397,204824,189184,276116,255072,269796,278535,246647,245512,332273,252546,218231,144245,61488,108024,121337,203117,212318,80418,1,311944,1,69575,102775,265723,,"C12H16N4S [ C12 H16 N4 S, tgt=, overall=78.40, db=78.40 ]",,,C12H16N4S,7.0639977,"(249.1168, 27010.91)(250.12, 3789.56)",248.1014,,C12 H16 N4 S,50,FindByFormula
C8H14O3 6.1029983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171076,346115,1,1,1,1,16844,1,1,106501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18352,1,1,1,1,,"C8H14O3 [ C8 H14 O3, tgt=, overall=86.32, db=86.32 ]",,,C8H14O3 6.1029983,6.1029983,"(159.102, 32959.73)(160.1054, 2595.0)",158.0952,,C8 H14 O3,50,FindByFormula
C24H38N8O6S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,192288,276687,1,1,1,1,1,1,1,54703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C24H38N8O6S [ C24 H38 N8 O6 S, tgt=, overall=93.49, db=93.49 ]",,,C24H38N8O6S,4.9550014,"(284.1388, 44548.95)(284.6406, 11113.69)(285.1412, 3061.36)",566.2631,,C24 H38 N8 O6 S,50,FindByFormula
C34H39Cl3N4O5S,1,1,1,1,1,1,27308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54975,1,1,1,1,1,1,1,1,1,1,1,1,1,30692,1,1,1,1,1,1,145511,30984,104506,303378,1,1,1,1,1,,"C34H39Cl3N4O5S [ C34 H39 Cl3 N4 O5 S, tgt=, overall=58.20, db=58.20 ]",,,C34H39Cl3N4O5S,12.726007,"(721.1814, 10889.1)(722.182, 7095.95)(723.1802, 5524.12)",720.1702,,C34 H39 Cl3 N4 O5 S,50,FindByFormula
C30H57N7O11,1,1,1,1,1,323519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,727835,734706,603063,1,1,1,1,1,1,1,173877,1,1521129,2162736,269404,1,76127,1,1,1,1,,"C30H57N7O11 [ C30 H57 N7 O11, tgt=, overall=65.99, db=65.99 ]",,,C30H57N7O11,14.3150015,"(692.4164, 4797.47)(693.4188, 1704.63)(694.4274, 6151.28)(695.431, 2362.03)(696.4268, 3614.78)",691.4048,,C30 H57 N7 O11,50,FindByFormula
C29H30O3,1,1,1,45371,30394,39998,50591,19378,45481,30858,24422,32815,29079,24711,18363,26100,89110,124576,31042,37559,52485,23798,37469,46906,26379,76006,15751,33651,39116,66831,83412,89737,85595,54709,70690,101304,56108,48720,1,1,1,1,34827,65542,1,1,101349,1,1,1,42572,,"C29H30O3 [ C29 H30 O3, tgt=, overall=73.52, db=73.52 ]",,,C29H30O3,9.562996,"(427.2265, 14151.93)(428.2295, 3178.6)",426.2128,,C29 H30 O3,50,FindByFormula
C19H12F4,1,1,1,258115,244531,261096,252686,174845,229388,266411,239988,258232,185969,193060,175947,199712,282011,203501,266410,157696,294252,237119,274772,269700,208115,210374,214986,192230,218939,253410,257843,265888,265273,287076,269482,318748,219704,213150,182906,28790,77116,31843,141291,223571,56828,1,325088,1,36721,93992,236360,,"C19H12F4 [ C19 H12 F4, tgt=, overall=67.34, db=67.34 ]",,,C19H12F4,6.714998,"(317.0965, 26657.63)(318.0948, 3955.67)",316.084,,C19 H12 F4,50,FindByFormula
C35H47NO3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45732,1,48592,65989,217896,37808,33651,1,1,1,1,184813,1,107375,87194,67276,132198,1,48670,405663,78835,1,,"C35H47NO3 [ C35 H47 N O3, tgt=, overall=36.45, db=36.45 ]",,,C35H47NO3,12.906005,"(530.3563, 15807.62)(531.361, 6197.45)",529.3498,,C35 H47 N O3,48,FindByFormula
1184.7166@10.895997,1,1,1,1,1,1,1,1,1,1,1,232316,1,1,1,1,1,1,1,93200,1,1,1,1,1,1,1,1,1,1,1,1,157538,478570,387988,436441,1,1,1,1,168603,201706,1,292724,248225,1,1,291537,246099,175884,1,,,,,1184.7166@10.895997,10.895997,"(593.3631, 9286.68)(593.8648, 4070.38)(594.3628, 2177.59)",1184.7166,,,50,FindByFormula
C30H37N3O2 9.651,1,1,1,66266,63516,63954,35340,22867,35397,39729,21146,69146,41282,53080,49877,16442,51061,31703,42510,24416,46574,24060,32455,14129,36377,34332,38449,209486,205414,288070,59204,62661,56993,42425,37139,45317,60319,58325,34282,22758,29357,20182,72936,116456,41630,19858,82919,1,16086,25469,70246,,"C30H37N3O2 [ C30 H37 N3 O2, tgt=, overall=75.78, db=75.78 ]",,,C30H37N3O2 9.651,9.651,"(472.2952, 27588.1)(473.2981, 7399.05)",471.2888,,C30 H37 N3 O2,50,FindByFormula
C56H54N4,1,1,1,1,1,44288,41123,59973,37343,34583,24717,24338,35068,32851,18562,16507,31890,33876,80547,1,40133,15749,44760,52871,42886,1,1,79679,113356,194612,189113,218830,198092,81361,133487,145779,95897,52114,55805,110072,138606,115173,182514,258927,232685,68293,362895,298464,111754,182324,129502,,"C56H54N4 [ C56 H54 N4, tgt=, overall=54.39, db=54.39 ]",,,C56H54N4,11.314,"(783.448, 13519.64)(784.4508, 5759.26)(785.4572, 1769.93)",782.4292,,C56 H54 N4,50,FindByFormula
C18H25FN2O4,1,1,1,110399,103100,219095,56847,24695,74220,98603,111107,123188,131549,90364,107018,126382,220554,211215,154123,88396,169213,112762,139657,147519,70349,275708,127950,148574,157671,111966,252487,286153,313980,239573,280639,361303,253996,236637,110623,1,71192,1,131507,252368,1,1,360457,1,1,62413,208787,,"C18H25FN2O4 [ C18 H25 F N2 O4, tgt=, overall=71.52, db=71.52 ]",,,C18H25FN2O4,9.821997,"(353.1872, 13385.19)(354.1904, 2668.75)(355.1922, 3411.41)",352.1818,,C18 H25 F N2 O4,50,FindByFormula
525.3556@11.350002,1,1,1,1,1,1,24623,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,631147,534007,1,1,1,1,1,1,1,1,1,1,1,1,285512,1,1,844437,1,1,,,,,525.3556@11.350002,11.350002,"(526.3651, 13828.35)(527.3485, 4367.41)",525.3556,,,19,FindByFormula
C36H37N5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24958,79025,105007,152020,1,1,1,1,1,1,82547,154965,203387,23290,48575,227156,1,226032,293165,84612,97354,57092,,"C36H37N5 [ C36 H37 N5, tgt=, overall=37.94, db=37.94 ]",,,C36H37N5,15.3150015,"(540.3068, 12625.52)(541.31, 3649.01)",539.2981,,C36 H37 N5,50,FindByFormula
C44H82N12O11,1,1,1,266483,197472,205818,258773,264379,258709,257617,171472,158952,222651,192332,165304,193419,120060,151600,220016,195492,198602,162645,241148,80793,137274,185713,275841,183662,173805,250346,172639,205081,176431,117286,142479,72466,190121,63684,152635,222782,222365,215024,113895,44933,208607,1,150964,226375,235912,258828,223898,,"C44H82N12O11 [ C44 H82 N12 O11, tgt=, overall=54.90, db=54.90 ]",,,C44H82N12O11,11.618002,"(478.3198, 12252.7)(478.8252, 3689.96)(479.3148, 3628.49)(955.6361, 8870.0)(956.6381, 4429.96)",954.6225,,C44 H82 N12 O11,50,FindByFormula
C9H8N3O 6.763,1,1,1,223792,204450,199417,193450,121809,182565,217220,185722,184123,193629,192061,160597,165636,234321,170010,178002,109149,195716,157584,193059,195660,168450,206779,172224,154738,188143,224234,211419,214942,227041,209332,219111,240622,220800,206604,188160,215185,210078,223253,149553,215435,273209,67627,269970,319247,224339,280383,203710,,"C9H8N3O [ C9 H8 N3 O, tgt=, overall=87.44, db=87.44 ]",,,C9H8N3O 6.763,6.763,"(175.0735, 28460.05)(176.0765, 2839.37)",174.0682,,C9 H8 N3 O,50,FindByFormula
C23H38ClNO,1,1,1,155456,149001,175009,159826,106868,148121,155088,136492,161839,154651,164291,138157,138363,184181,139515,119592,68938,150951,133151,177899,172029,145774,170115,152364,152183,184336,237114,180694,186184,191918,158553,153271,192015,169032,182297,154056,156206,186971,155329,119983,181435,235553,1,233587,187450,147704,187386,172023,,"C23H38ClNO [ C23 H38 Cl N O, tgt=, overall=20.54, db=20.54 ]",,,C23H38ClNO,11.071999,"(380.2694, 3590.54)(759.5339, 8455.12)(760.5522, 5355.48)",379.265,,C23 H38 Cl N O,50,FindByFormula
C46H64N2O6,1,1,1,136624,119726,148433,134976,82047,243498,34113,106822,130714,54025,41770,118540,100922,143862,33337,38620,65305,121890,109855,125914,116997,115076,130536,103877,119970,168538,220249,267692,305221,346185,97795,106974,117053,142017,116147,86544,236111,302300,307189,161996,200236,273977,50012,293863,196137,75786,195666,162213,,"C46H64N2O6 [ C46 H64 N2 O6, tgt=, overall=90.47, db=90.47 ]",,,C46H64N2O6,11.758998,"(741.4828, 17446.3)(742.4857, 7287.85)(743.4872, 2323.32)",740.4707,,C46 H64 N2 O6,50,FindByFormula
C5H13NO 15.361,1,1,1,16363,18481,15520,1,1,1,1,1,1,18658,18640,1,16927,1,1,1,1,15742,1,12473,22288,1,1,1,69641,78898,88533,143044,159139,159311,21823,45939,32709,27538,39397,44247,223720,160212,213886,98573,141421,314253,34174,169131,345759,101849,76180,60016,,"C5H13NO [ C5 H13 N O, tgt=, overall=86.97, db=86.97 ]",,,C5H13NO 15.361,15.361,"(104.1066, 46393.21)(105.1099, 2742.7)",103.0994,,C5 H13 N O,43,FindByFormula
C22H24N2O3,1,1,1,234225,222069,245457,243512,155353,235476,191604,143987,205664,156737,129342,141944,70868,229884,166466,246923,152429,272302,138803,213871,142051,147668,140136,131699,94690,133419,208869,171323,216463,199094,238656,222650,308664,211166,140071,89676,1,41417,1,139665,190711,112090,1,210725,1,1,49705,115801,,"C22H24N2O3 [ C22 H24 N2 O3, tgt=, overall=79.67, db=79.67 ]",,,C22H24N2O3,9.118004,"(365.1866, 30028.1)(366.1899, 5898.53)",364.1813,,C22 H24 N2 O3,50,FindByFormula
C22H34N2O5S 9.856997,1,1,1,242410,219668,313377,295934,183186,280166,205614,169692,266240,228526,210824,164031,223343,527926,361376,300573,187339,431141,261061,369358,384243,212050,273255,192247,262216,359786,757679,760707,811609,866517,544090,698678,975234,552645,442534,147556,35758,88889,40242,305839,563867,190990,33392,1038180,59436,40198,341565,427183,,"C22H34N2O5S [ C22 H34 N2 O5 S, tgt=, overall=88.59, db=88.59 ]",,,C22H34N2O5S 9.856997,9.856997,"(439.2251, 171503.19)(440.2285, 36039.77)(441.2328, 7121.71)",438.2186,,C22 H34 N2 O5 S,50,FindByFormula
C20H31O5P,1,1,1,1,159974,204822,186574,194608,1,1,131003,168764,149322,139333,124664,181795,377399,212496,164323,150752,196901,133536,188542,184146,128028,231807,118703,125750,171774,269967,252675,287448,279731,243416,265518,364176,215159,188360,112100,1,64251,86345,169079,270439,118492,1,344661,1,46611,69324,172864,,"C20H31O5P [ C20 H31 O5 P, tgt=, overall=84.32, db=84.32 ]",,,C20H31O5P,9.266999,"(383.198, 14201.79)(384.2012, 2925.95)",382.1951,,C20 H31 O5 P,46,FindByFormula
C32H46N4O4S2,1,1,1,205863,199764,215900,227878,171630,212670,215823,195270,216094,180254,171864,166961,173337,204507,168941,197055,138033,214835,200469,231816,244844,183608,172737,187184,171234,191342,229526,192385,194125,197342,213804,216850,243797,193852,190566,166872,19275,86286,18473,159660,206026,67966,1,283713,1,19615,94367,204319,,"C32H46N4O4S2 [ C32 H46 N4 O4 S2, tgt=, overall=60.71, db=60.71 ]",,,C32H46N4O4S2,8.803002,"(615.3021, 24938.03)(616.3054, 7216.68)",614.295,,C32 H46 N4 O4 S2,50,FindByFormula
