# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled Blood Pos_2018_Aug_02_16_40_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Thu Aug 02 16:42:19 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,48_T1,48_T2,48_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,Retention Time,MS1 Composite Spectrum,Mass,Ionization mode,Formula,Frequency,CompoundAlgo
C17H30N6O4,31197,40576,35886.5,3206875,2105596,3813419,3512662,1964508,3236519,3518590,2964768,3833676,4246515,3842219,3412400,3253506,5455423,4455844,3437418,1954898,4209337,3034532,4170362,4620204,2848164,3779135,2662306,3741414,4015132,5631794,5780392,6131817,6319426,5135400,5968143,6289265,4566677,4039335,3988097,5780264,6051685,5257925,7363363,9533662,1.18E+07,2895620,1.09E+07,1.25E+07,5297016,6296518,4014011,,"C17H30N6O4 [ C17 H30 N6 O4, tgt=, overall=94.37, db=94.37 ]",,,C17H30N6O4,9.933996,"(383.2388, 1211233.0)(384.2419, 228815.7)(385.2434, 32000.55)(386.2451, 3846.57)",382.2277,Esi+,C17 H30 N6 O4,50,FindByFormula
C22H32N6O2,1.05E+07,1.05E+07,10500000,5934857,5870560,5963015,6366358,7683173,6943110,3470197,7151910,6517613,6535350,6454085,6583238,6409880,5313805,7690188,4877503,7694128,5827534,6850241,6323931,6031810,6501657,7320983,7028453,4626765,5057369,4852958,4871061,4598009,4576061,5282812,4645050,5611476,4656250,8197483,4635697,4991759,4231940,4568636,4067122,3271251,3096234,7935684,2260701,3914580,4794682,4995371,2896749,,"C22H32N6O2 [ C22 H32 N6 O2, tgt=, overall=99.25, db=99.25 ]",,,C22H32N6O2,12.578002,"(413.2656, 976029.1)(414.2687, 242503.58)(415.2713, 32436.94)(416.2741, 3636.87)",412.2589,Esi+,C22 H32 N6 O2,50,FindByFormula
C11H22N2O6,18218,27960,23089,2961641,2634645,3445006,4130249,2708341,4022120,3864895,3320936,3995820,3891613,3531758,3007383,2735587,3765165,2662403,5753363,2015173,4004196,2900814,3691828,3829725,3374386,3301046,3172070,4620694,5677626,8209351,6319715,6836223,6685476,5471861,6039751,6763521,6344964,5583859,4686139,7986517,9205539,8189866,5029312,7087848,8428959,2586443,1.08E+07,1.16E+07,5769655,7907427,5622370,,"C11H22N2O6 [ C11 H22 N2 O6, tgt=, overall=91.83, db=91.83 ]",,,C11H22N2O6,9.584997,"(279.1535, 1116484.2)(280.1567, 153247.36)(281.1616, 19363.93)",278.147,Esi+,C11 H22 N2 O6,50,FindByFormula
C18H36N2O6,164284,176559,170421.5,2679023,1832793,2947508,1744258,1173974,1731797,2647948,2333370,2807668,2733895,2462892,1746154,2877262,3203768,2431369,2962705,1874352,4067945,2299795,2980122,3736484,2217849,2277011,2467971,6906256,8018016,1.09E+07,5262930,4956084,4662528,6166319,7825997,8589125,7043851,5934404,4900479,3373877,2759941,2497655,2857447,3085621,3967892,1127625,2123199,3221936,4785957,6195929,4283638,,"C18H36N2O6 [ C18 H36 N2 O6, tgt=, overall=95.66, db=95.66 ]",,,C18H36N2O6,12.066,"(377.2657, 1080530.8)(378.2687, 231327.39)(379.2748, 34031.37)",376.2604,Esi+,C18 H36 N2 O6,50,FindByFormula
C17H18N4,795962,1006858,901410,643617,624645,617238,905693,924436,637861,2134287,648450,662033,923315,903801,659934,648220,596511,641240,632610,672208,638797,672728,660154,671063,687578,715983,708957,6303058,638771,834709,893929,664231,574289,890158,910558,924115,1061543,1.00E+07,909443,838115,640715,662001,675070,7161676,589229,650931,569730,665966,804232,669547,1303501,,"C17H18N4 [ C17 H18 N4, tgt=, overall=95.87, db=95.87 ]",,,C17H18N4,10.703002,"(279.1602, 1047312.56)(280.163, 167601.72)(281.1665, 20555.96)",278.1491,Esi+,C17 H18 N4,50,FindByFormula
C22H42O4,30582,28166,29374,16881,135705,87364,475264,208180,52412,8664353,47208,43242,90509,53990,69169,150463,32134,34623,81334,25279,62557,116890,81790,94334,271788,31546,54753,377039,55240,120920,65738,237619,145617,65748,1607201,83306,590204,148094,44938,51710,47058,216736,1779017,330231,101403,321260,47555,55491,32121,98262,7602026,,"C22H42O4 [ C22 H42 O4, tgt=, overall=97.45, db=97.45 ]",,,C22H42O4,12.5560055,"(371.316, 1170020.6)(372.3191, 247834.86)(373.3214, 32591.13)(374.3228, 3470.26)",370.3042,Esi+,C22 H42 O4,50,FindByFormula
C15H32N2O4,36134,622804,329469,1317208,617622,1753983,983214,829772,968328,1052690,1123077,1193568,1794844,1489615,1098989,2589156,2011167,2379356,1332431,728101,1637381,1222248,1558408,2572131,1085989,1847178,1213987,2921642,3336149,4923758,5036702,5632248,6202438,2732075,4709718,4364951,3286702,2997911,1967911,6988317,4675604,5864705,5000390,5455999,6844294,2573052,2814387,8674129,3669317,3533420,2830698,,"C15H32N2O4 [ C15 H32 N2 O4, tgt=, overall=97.02, db=97.02 ]",,,C15H32N2O4,12.2439995,"(305.243, 1046054.75)(306.2461, 214347.62)(307.249, 23150.85)(308.2517, 2161.88)(609.4731, 2182.2)",304.2354,Esi+,C15 H32 N2 O4,50,FindByFormula
C20H36N2OS,923063,956429,939746,3908652,1507127,2333543,1220214,1013610,1520537,1840634,1627163,2093202,3824072,2954187,2423190,4712841,5064493,6034455,4238673,4212849,4736511,2081641,2344375,3991995,2101543,2628884,2638288,5287441,5070270,8454734,4077389,3804507,3320217,4570200,6627777,8101427,6962134,4973932,3532129,2678586,1475514,1595420,2682919,2675442,3500953,1445234,757839,2703434,3112377,3227759,2601655,,"C20H36N2OS [ C20 H36 N2 O S, tgt=, overall=91.17, db=91.17 ]",,,C20H36N2OS,12.2999935,"(353.2622, 1154108.9)(354.2652, 220331.1)(355.2676, 28439.17)(356.2703, 3216.51)",352.2576,Esi+,C20 H36 N2 O S,50,FindByFormula
C22H43NO,3812106,7879039,5845572.5,2727708,2757561,4119236,4197999,4034480,4364788,4027113,3775759,4324283,4021653,3544280,3051329,3815284,4378194,4670656,3260146,3671895,3574165,3657819,4315696,4624771,3772578,4630471,4041436,1312821,1537301,3185338,1511494,2019028,1865580,2344993,2621209,3718387,3658598,2758119,1747781,2010440,1260633,1730908,3147864,1228094,1510724,4119040,344261,1628504,1812253,1659355,1511525,,"C22H43NO [ C22 H43 N O, tgt=, overall=96.98, db=96.98 ]",,,C22H43NO,13.111001,"(338.3409, 897648.2)(339.3439, 213831.89)(340.3465, 21017.13)(675.6728, 14964.25)(676.6758, 6699.23)",337.3341,Esi+,C22 H43 N O,50,FindByFormula
C16H36N6O2,6127145,5408613,5767879,4200230,4589347,5392310,3968793,5136428,3556410,4894193,4468289,3803522,3786219,3234852,3905576,4178909,2867693,3210993,4555533,5144744,3999655,3924353,3898030,4592137,6109931,5103596,4345908,3761715,3552451,3258372,3302627,2779436,2878395,3460674,3175567,3402580,3167910,2414106,3485441,3277160,2965044,2958053,2697198,2536369,2321285,4123974,1766876,2240916,2630323,2630490,2891157,,"C16H36N6O2 [ C16 H36 N6 O2, tgt=, overall=84.10, db=84.10 ]",,,C16H36N6O2,12.552998,"(345.2983, 1295.66)(346.3008, 552.52)(689.5879, 55861.76)(690.5903, 28643.89)(691.5903, 9859.52)",344.2912,Esi+,C16 H36 N6 O2,50,FindByFormula
