MZmine_ID,MB1,MB2,MB3,MB4,MB5,D1S1_1,D1S1_2,D1S1_3,D1S2_1,D1S2_2,D1S2_3,D1S3_1,D1S3_2,D1S3_3,D1S4_1,D1S4_2,D1S4_3,D2S1_1,D2S1_2,D2S1_3,D2S2_1,D2S2_2,D2S2_3,D2S3_1,D2S3_2,D2S3_3,D2S4_1,D2S4_2,D2S4_3,D3S1_1,D3S1_2,D3S1_3,D3S2_1,D3S2_2,D3S2_3,D3S3_1,D3S3_2,D3S3_3,D3S4_1,D3S4_2,D3S4_3,Pooled_1,Pooled_2,Pooled_3,Pooled_4,10ppb_1,10ppb_2,100ppb_1,100ppb_2,250ppb_1,250ppb_2,250ppb_3,250ppb_4,500ppb_1,500ppb_2,1000ppb_1,1000ppb_2,m/z,Retention Time,Mass,Ionization mode
6016,569.8338,575.0682,692.34,586.30475,345.5315,517.1536,532.58435,475.16806,525.488,521.63666,404.95187,433.92706,511.66068,443.46695,472.45355,665.5006,458.76123,567.13104,564.4374,358.8246,466.12128,1,1,501.2854,516.788,381.43234,553.8286,1,459.10147,451.73785,460.94342,382.53317,459.28613,514.61926,326.4896,486.22495,481.90887,329.97778,593.31635,586.5316,457.61523,480.5832,545.347,464.37408,348.51236,512.39764,512.39764,1,1,637.15485,637.03174,539.4156,342.43146,1,1,520.1308,520.1308,402.358265,15.170891,401.350989,Esi+
320,1,1,1,1,1,1,1,1,256.04715,1,1,1,335.81903,340.90802,1,1,1,229.08318,1,1,1,302.04315,304.4663,228.55008,297.04715,1,1,1,1,268.65143,310.3972,1,209.73334,348.73367,1,291.82785,307.96228,254.28284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,402.9019619,0.77644986,401.8946859,Esi+
4187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,142.56422,1,1,1,1,1,1,1,1,1,1,1,1,1,232.89133,232.89133,403.0500581,10.920019,402.0427821,Esi+
2930,1,1,1,1,1,1,1,1,1,1,294.89767,1,1,228.76064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91.024605,1,1,1,1,1,1,1,1,1,1,1,1,403.1481546,8.571993,402.1408786,Esi+
2719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12695.235,15162.651,15033.361,11994.778,1,1,1,1,2477.055,4070.6807,4304.0317,3008.3528,5888.551,5888.551,12210.692,12210.692,403.1529709,8.486026,402.1456949,Esi+
844,1,1,1,1,1,1,1,236.35825,1,175.31277,1,129.58313,1,1,203.68532,1,321.43457,1,1,1,1,126.29199,1,1,143.75168,1,1,1,1,1,1,1,1,1,1,1,1,117.37269,1,1,149.75478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,403.1577275,4.40618,402.1504515,Esi+
2804,1,1,1,1,1,1553.6482,1345.9465,1006.34424,984.9248,3327.2322,1409.3201,1567.5878,1,2755.0398,442.16974,1,1157.4501,400.87418,968.2834,954.97064,2648.7917,1,1471.5103,1357.9559,1574.2463,2431.9653,318.6592,1,1,1,1,1,619.3281,1890.3608,1,2717.8733,1770.4386,1652.3596,1,1,397.17624,635.8089,1576.0923,1692.6425,805.5905,1,1,1,1,1,1,1,1,1,1,1,1,403.2257701,8.552715,402.2184941,Esi+
6014,1,1,1,1,1,1,1,1,165.55663,170.25177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,403.2335248,15.14597,402.2262488,Esi+
5918,104.29707,132.96353,140.4066,114.19019,118.059006,101.769745,113.65654,127.54252,97.89874,142.88304,99.20832,106.14913,1,95.53269,110.03367,133.17484,101.856316,143.68105,149.29648,1,121.909386,139.86505,106.00263,1,143.21298,91.025375,153.99117,145.41014,128.92967,93.21679,141.20116,101.51938,123.5099,93.115105,89.46782,95.9443,122.0677,91.90775,120.943535,1,93.32857,112.73961,146.33905,79.46655,102.85767,1,1,1,1,1,171.36098,109.56302,1,1,1,1,1,403.3618158,15.1422,402.3545398,Esi+
1900,1,1,1,1,1,1,1,356.39343,1,1,1,1,1,288.58453,1,1,1,207.3579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146.31078,1,1,1,1,1,1,1,1,1,1,1,1,1,405.1952698,7.1907315,404.1879938,Esi+
2983,1,1,1,1,1,545.37726,1,1,1,438.08612,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,320.23422,1,1,1,1,1,1,1,1,1,1,1,1,1,405.2030373,8.726593,404.1957613,Esi+
1592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,184.443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,405.2348235,6.3905826,404.2275475,Esi+
5693,1,1,1,1,1,1,1,1,206.17413,304.34348,1,1,1,1,1,1,1,1,1,1,1,251.8198,222.58005,1,1,1,1,1,1,1,1,1,1,565.32635,1,1,1,555.5031,1,1,1,1,1,1,143.42192,1,1,1,1,1,1,1,1,1,1,1,1,405.2578878,14.37139,404.2506118,Esi+
5285,1,1,1,1,1,1,155.64868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,406.2633604,13.083812,405.2560844,Esi+
6593,1,1,233.63713,1,1,150.8655,226.41965,1,1,1,1,1,1,198.5983,1,237.27509,1,1,1,1,1,1,1,1,1,1,205.80702,1,1,1,1,1,1,205.88214,1,1,1,1,229.55536,269.68793,1,1,1,1,1,1,1,1,1,1,229.5934,256.48743,1,1,1,1,1,406.2936315,17.01735,405.2863555,Esi+
246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,186.95377,207.50899,166.11467,153.2013,1,145.53023,1,1,1,1,164.78633,1,1,127.96324,1,1,171.46045,148.10208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,406.4022796,0.7345814,405.3950036,Esi+
5059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,724.84906,1,1,1,1,1,1,1,1,1,1,1,1,407.1491126,12.611267,406.1418366,Esi+
