# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled blood neg_2018_Aug_03_09_33_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Fri Aug 03 09:36:41 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,CompoundAlgo,Formula,Frequency,Ionization mode,Mass,MS1 Composite Spectrum,Retention Time
C12H16N4,38181,36950,32340,2168817,1946470,2413036,2408453,1404099,2519283,2184390,1850683,2267137,2345504,2071739,1808173,1964764,4069243,2604088,3209426,1688243,3591789,2135545,2761416,3077131,1765172,1940390,1798202,1561087,2767804,554138,120839,4312220,413797,490478,725028,2510154,502320,810129,430054,2160464,2872126,4434645,4596615,5313393,4630064,4394830,4089520,5369435,3213978,2975531,622648,,"C12H16N4 [ C12 H16 N4, tgt=, overall=96.77, db=96.77 ]",,,C12H16N4,FindByFormula,C12 H16 N4,51,Esi-,216.1382,"(215.1306, 567356.7)(216.1337, 67439.72)(217.1358, 6836.6)",8.605996
C22H38O5,2641975,2844202,4134274,1642264,23233,954747,3311870,2944840,38303,111348,383417,67495,1279196,1011413,877930,1076963,865138,785017,3025801,122113,1068831,4235583,3370430,2353983,140964,1090562,290463,3624524,3295270,2051018,166045,857399,3393150,3331279,1644420,1391444,2718754,936425,2526621,4175620,1384750,2528442,2983849,2046868,3512944,4161310,1276040,149761,1878111,2357371,1488621,,"C22H38O5 [ C22 H38 O5, tgt=, overall=81.56, db=81.56 ]",,,C22H38O5,FindByFormula,C22 H38 O5,51,Esi-,382.2717,"(381.2651, 241442.27)(382.2674, 51700.85)",12.653996
C16H34N4OS,55782,41510,47748,57216,42438,56446,35377,28218,37997,29101,73298,35742,106237,38896,48293,17760,51713,46055,40349,78308,29026,86097,28434,43495,110496,49100,103730,1578536,1430047,309560,31349,528871,29918,26967,44296,99673,39436,70831,46945,206221,130796,495847,511800,536247,450656,1196143,4468002,448061,784940,220819,243163,,"C16H34N4OS [ C16 H34 N4 O S, tgt=, overall=88.71, db=88.71 ]",,,C16H34N4OS,FindByFormula,C16 H34 N4 O S,51,Esi-,330.2438,"(659.4788, 2252.76)(660.4825, 998.43)(329.2367, 194767.55)(330.2396, 33406.52)(331.2422, 4869.62)",9.247993
C6H12F4N,24516,34326,1,2493176,2303947,2470701,2209202,1269113,2235067,2211069,2037724,2306283,2226429,2067697,1881070,373726,3634755,2317275,2908134,1489278,3227635,2104758,2643824,2372838,1843365,2032330,1859651,1614967,2639866,765062,153730,3650251,394085,461310,605190,2146313,675079,854140,548525,2182263,2648196,3605690,3582321,3700361,3283419,3339439,3002330,4199443,2793878,2674124,680054,,"C6H12F4N [ C6 H12 F4 N, tgt=, overall=86.28, db=86.28 ]",,,C6H12F4N,FindByFormula,C6 H12 F4 N,51,Esi-,174.0903,"(173.0833, 443740.12)(174.0863, 34751.0)",5.7749977
C19H28N4 Esi-11.208992,18886,15552,15329,223548,54502,107847,50843,31833,168603,126269,33592,212897,42883,38494,103659,45613,58829,1,93356,41207,149320,25734,84317,41686,53014,23688,47430,3122146,3814700,182085,181923,316106,247759,357068,134781,228189,277009,219815,967243,349521,85673,757800,658125,1829533,1981973,105213,3256309,66674,2804601,1184353,452860,,"C19H28N4 [ C19 H28 N4, tgt=, overall=79.89, db=79.89 ]",,,C19H28N4 Esi-11.208992,FindByFormula,C19 H28 N4,50,Esi-,312.2338,"(623.4541, 4184.59)(624.4569, 1669.71)(311.2263, 85828.65)(312.2297, 14973.78)(313.234, 2047.8)",11.208992
1285.1094@14.218995,3501145,1,1,1024526,455666,2771418,1176682,2318731,346150,1882608,193705,1302182,1024638,689561,45814,376339,297049,1,178483,172057,156169,1,157018,1,1,1,1,86012,78509,82750,1,103884,64964,72212,39251,63214,92899,1,56113,1,34779,68906,58054,45006,47299,1,44667,71613,46307,1,81552,,,,,1285.1094@14.218995,FindByFormula,,51,Esi-,1285.1094,"(1284.0941, 44643.52)(1285.097, 46732.8)(1286.0975, 27803.84)(1287.0977, 11960.45)(1288.0974, 4337.67)",14.218995
C18H32O2,16158,33090,51738,134097,58160,160956,100207,60387,101971,135207,117089,137037,200197,185375,130934,299261,260170,287235,180126,103123,265897,163120,214553,342920,191626,305151,217084,1152296,1304947,2066597,100994,318318,2797523,855069,428631,442498,1941963,852781,1939403,271873,354312,749750,926809,3407748,1183725,157317,163301,223600,509948,584181,830001,,"C18H32O2 [ C18 H32 O2, tgt=, overall=68.89, db=68.89 ]",,,C18H32O2,FindByFormula,C18 H32 O2,51,Esi-,280.2423,"(559.4802, 15758.75)(560.4836, 5891.32)(561.4865, 1270.84)(279.2366, 439126.3)(280.2397, 80071.42)(281.2425, 8765.77)(282.2455, 664.77)",12.276
C19H30N,15236,16566,1,163897,110241,222921,110060,66578,101270,112497,95942,124899,174120,158937,120514,208977,163984,129114,116599,51973,168317,89705,128417,202427,96009,127224,122327,585396,1098138,1635430,59264,428200,741397,497956,263728,303160,988222,348648,900054,185934,167099,287603,631129,3539856,538316,68048,148481,88824,220119,169232,188459,,"C19H30N [ C19 H30 N, tgt=, overall=84.60, db=84.60 ]",,,C19H30N,FindByFormula,C19 H30 N,51,Esi-,272.2371,"(543.47, 8654.72)(544.4737, 2866.34)(545.4759, 574.4)(271.2315, 398468.8)(272.2344, 60278.17)(273.2369, 6716.05)",12.0320015
706.5685@12.692996,863671,672634,673999,1526889,577610,993953,929381,1817767,1238740,1132616,1650803,1081805,616787,1310090,1203195,1074849,1488988,722735,1235727,1758146,1058545,1078933,408250,907258,1078025,1197942,875381,192256,150866,95238,1189595,459281,134496,112227,975405,710994,109623,192943,85103,1072761,971102,303901,174872,91269,220067,1192365,1360643,511420,280637,1183852,490617,,,,,706.5685@12.692996,FindByFormula,,51,Esi-,706.5685,"(705.5571, 78063.23)(706.5595, 36604.05)(707.5594, 13920.19)(708.5589, 3996.58)",12.692996
C2HF3O2 Esi-1.1759995,1046292,850886,742983,641358,1485542,833500,936735,531038,769603,990091,1553445,835222,691791,652223,1492803,1811340,642180,445850,546313,486904,680315,1190199,430351,1366321,1278363,1127426,605482,2428751,2324683,2479135,608580,2892409,2592506,2295216,1226726,2936674,3102437,2877630,2856645,1356762,2216883,2119746,1514989,2676899,2756018,1844846,1675595,1528954,1396594,835981,1952758,,"C2HF3O2 [ C2 H F3 O2, tgt=, overall=87.97, db=87.97 ]",,,C2HF3O2 Esi-1.1759995,FindByFormula,C2 H F3 O2,51,Esi-,113.993,"(112.9856, 352495.97)(113.9891, 6947.02)",1.1759995
